X;Vigenere_r1;Vigenere_r5;Vigenere_r10;Affine;Uniform;Recursive
вотхочбидо;ргєигїпшуг;рвючлїопєл;угзйжщщптл;чтщцтйнжфт;зргахішфмж;ущплбмнанн
гарасевиче;двтвужґїщж;цчщийщщпґю;щпбтйчпиов;цкшкядтсуд;нюжйгхксло;кдпфибіїув
вихтанепро;жмюшеуїхцф;ніїбжяєеяц;рлпяобквзв;ічфоєжпїки;єфйьбихеия;оціґлпбрсж
читавсобів;мяітфиєуаф;мбйєхизхох;гґцийбшхйи;хчїбцмшьуц;ипфґцмчжич;їхґщащщхсй
нихісторії;бчзшдевґшщ;еґшогіїуоч;вґсдіґпкдн;жйєнфшїрнс;гкйжзтядає;чнішебєжлу
довгоїізав;мщйкщутрій;усйрзькрнц;сотввщїгпю;раноачцфлн;дїпїакюкма;їнщйзтюрод
зятоїборот;шожґюрґеґж;ґчодбщймді;ржнчцчьпгг;їнтфчмфуфт;вюбмхефмвя;цхоишдадди
ьбиуніатів;їмхдяцлґцн;врнспмпщзґ;їшшкікґтщв;вхпгоаітае;пцьтфоїкфц;єейпяонвпс
протилатин;яаювушйвуь;тчйеьоєнчґ;кмдхюжкард;йерхижкхич;шрвюґбденщ;пузяжєлтґц
щеннярусин;гйффечьшнф;опітбзгллп;шнанюзобчз;нлццуядїбц;счткууанял;ьчфозчгьаь
івтакихгар;бхїуґалцуи;вшійрбохйц;уфрхиятпір;фьйваитіво;бїнієзчзрю;суібїйхдьв
ячихуніаті;іетґвщуїбу;щнгбекбцюч;женоєуилкч;фґвщсьешне;єфїйфбтлзі;екрбстиязж
вякрутськи;ольгедґйьц;ещзґєцохюч;снсщимнікр;ґєхпмнозхщ;вцгтщжжгйк;хаххнзцвшь
йкишкашепт;нокяоґяиуц;ияпбрьйлхш;цєтхрйсмлґ;еячаяюатьз;ртґщцплйцш;ьчфозчгьаь
ицькийтоді;сґжхсфащмт;лббґиоьтші;мпмммтпжрб;іфпеіящбзо;йюраємиофє;юижоціґлпб
бувбипевно;вфгвірєгоп;чхйдтїжйсь;рюмазєчхїя;дмєдужлєґе;гхчхізалґл;нюлйшжгікх
ненаписавт;цлцзшпьзію;ясфййхгєлм;шякуяаюєцр;щєщмлїбмвч;хчйеяньідш;уриьєґілцж
акихслівта;свюйзгяуис;дящчхрщсфґ;цмрвпнмчср;гциґськіхг;ььуопцвмфі;рьнкюїитяс
ксамотяжко;їпюкмрьеїм;цхбґябгзвя;здцлйицхжм;вїлпгґунвг;югщфшдкищу;впсєшвьящш
зрозумітит;ґлйґоіендн;бщкдґжроег;учмщопьйшн;цлкцайчмим;слеюмірмєч;щбьюшцсквм
ісловаджит;ьєбґспфчщж;цоиьллвгтв;йґюрчєєаєч;бвждиуєґфї;щгцивкяілж;пґучнішебє
ецькогоуні;ґфшїмбмслз;иґйпфєщетн;аятгбрзхшб;єгтїюбюьое;авндєєзьро;озчгьаььчф
атирозуміл;іасющрбчтц;єхетвмцїйя;шфярєйакга;кхиернобгж;йкшдрґясть;люйіфвцшсм
ищоправосл;лбуфхдєуцр;шоззшофзіу;ьббяжхмфжж;усищлюгибп;уґіґекпґяґ;єдїнщйзтюр
авієзйогос;шьевґжйюйм;жорпщсбїьж;щигяшегтаи;мндгґехбхи;йущшсйслцч;ющчунєфютр
оборнимиос;зхзіжбєбзї;бюхсфцйнпш;лчяиачскбя;чшчущиюичс;децдщцдеут;фьсоефьсое
новамицерк;зичхжвоюїе;кебфшєкдіц;огдфпьгажг;чусщютфдле;щвсдщтиеоф;фґшячцрйай
овнорелігі;їщіїказдьд;ювнсфпліел;цшузлщазнщ;ьівьрфїяея;шоюрнпяфан;юфтйвлнямл
йногожиття;ягґтґчщжжо;тцоїшнптюз;айщчжйрщйц;жфшбшсщііо;прмкімґїро;ццпїюижоці
більшевідп;аикщчдбиґо;ьицїівбтрв;тґиинзгцґє;етвцгкбтпл;єієґьуєізу;сбтуївкмьй
овідаєнаро;ькунїпщїяь;крннугвеяж;фезьюбічїй;суцвлинлщс;яхщзхіезхп;хшрлвнпгтх
дномусвіто;фгґвзєсьжґ;їцткошілрй;їткпєйґатн;чормьцсешр;еплнбчігиу;сечаччслго
глядовініж;ьзцяїщдідв;ьлсфцщіеьм;щпкґґизщїб;гфєбсґштшю;трнбечєцєл;дяґгєинчід
уніязїїпод;пйєшджжлкб;ґмкґицітуе;яеектзйєац;сголбиирша;уяоснсґвцр;ятсиюжекрб
авляющимав;шьичцфдішь;шчещуфвєьч;дцшдоадилм;нфрьигпєнф;мжцшгуьвуж;кчжвиїтбуф
торитетомц;фртїфжфрош;яивжкмкако;уяитгпомза;зпкезмзпфя;цшпшобаеьд;бьюшцсквмо
ерковноїіє;шзгєфеєбащ;урщїьбочдв;зсрдтібчла;йіцмувмюнч;юшвїулжсчк;шіенуєьґбд
рархіїтутщ;яїяґуфбвбж;еязїмюсїзб;тєьмдимийц;сєсжотщащф;ссхвжмгццл;егзїсассзь
ословотоне;мпймамрмлґ;мгцхгмґщфє;еутпщбаждж;бмпбрбсбщє;нпнжхвшурн;аккшзґйньк
порозумінн;хфцфлщтнуу;сїпуґхиитї;йсіжяйкцхб;дтстигузее;єізїйуквжґ;чгьаььчфоз
яяквигляда;еесзнитеїє;ряґбкфлтґґ;ґджчлипяом;ддцщчґбдрй;здфсйябґєі;ґхщсндтчми
лисоборніо;лисоборніо;нрпіерьлґу;ежпаьнжшес;иешпїпкдрп;содмуляшцб;ушойюізрщм
сновиправо;ліїщґйкчщї;увпєнсдбєх;яєзццєсфвє;щсуфєхчрфу;ґчхжптшяаз;кзуятсиюже
славноїцер;ніщюйкжтвм;чфйпбфсеуґ;йаседасьющ;чзьхґоаюлй;дузмґзмуая;їґмргуцмзх
квинаукраї;яршвожядоь;мбгнйхййах;ящґиґйихґх;ґиепімґбід;ьттйооркпм;іяизпшкзуя
нісемизнає;яцгсюхфялт;чжгщпреяуи;нвфьтщєізґ;зфяршищзвб;фюцкцмюхшд;гнрґфшпкак
мозісторії;кмєзпрмози;злзтьллртс;ржеаюипштй;влепожлшпз;сяьчічаєуи;мпвсуібїйх
уніїаістор;ідяасязиеж;їюссдавячх;зьощжхцрфг;мюйдвйяфує;інййкгцятґ;яюьшхрїяіи
іїконфлікт;вгдзжлевдй;ьииочийєкя;нєхлшевйяі;лкїжзвілїґ;мпраіцбоць;икфдщбьюшц
уміжпетром;рйждмгпнлй;кдооеьічшг;щйецгагйше;ьхїфйябзнх;зжсліїгщаі;єгийугцщто
могилоюійо;дєхяґєравє;рчрддтєшжж;чшюащпхіап;гвцервїтсв;хюияртамяу;йґнсдцюфтй
вомборецьк;тдгсдєцйнб;чжьцуїщєтп;гкчлфрінфк;щгюигжеуац;ліщкґмгмтб;чгьаььчфоз
имзісторії;юґьязиежяа;юмгхгиокхч;ааівфзяефі;шмжлнґуьлв;йпгчоюшпмс;жтьпмвордх
виборуієра;екдтфчліфґ;ллтхсгмшчб;аґгєїаїжги;юеькмпєгмщ;вжківвуфаш;ещвюаюющчу
рхіввотхоч;жйяууеийел;еігжїґжнфґ;мґїсяннулн;ойчггрмйрі;лхьофїбпза;ійфґшячцрй
бищумлянсь;сьмигвпґжн;евбомрфтмь;сєипнцпщкх;яцесіплгґю;аьяцджтахн;йнькіхгшюц
когоісвист;лпґпїтгіту;ксйигсдрйк;шпиокжьінщ;чцдцгньшнх;щфвщпеатрю;чґюваввґеи
ельницьког;сьїяхжїщао;уьхцоиїзчі;ґйьужюєярж;ютєздаєїпб;ґіхзєицїьл;ґьбюяьщцтл
очимзробил;куеїдмкьеі;обґеїрхшао;иеябтрґуів;нуьїітнфьц;дссіажжгхш;обпрецяхфм
исятісобор;сяиатящїщю;ишфєфсхцга;лвьшчагьис;зрючмряїяй;рчоіпбгчьу;ґюваввґеим
ніосновивр;минрмнбзбп;жбкщгзхеие;мґжіпррчес;йпурйушзши;шююйдмїнли;бяаяяюьшхр
осіївідчас;жібвхбшнуі;нчхзуиіжьз;лфлюзюмщти;зчтебтпьач;мфємзюжднр;дщбьюшцскв
івпетравел;фляпвайлпш;пюмйсшщяйк;хюнїдфуьеф;їажюуфбаюи;лхтюхівяид;фкдпфибіїу
икогосетак;пучїчьлюзу;ьвбквжчдію;еяуїєяулщу;гйувукцаій;чсгчхвгвгн;гзїсассзье
ожповинноб;чншчіпццчи;чячмчпжхмц;чцаишрїчсч;ьбуьирґґьн;жфпдиґюаив;юеґикфдщбь
утизвісним;цхйїдкфрйп;зфлбоьутвя;пієихсьлфн;обшіфїнлшю;бфдазплщїй;яаяяюьшхрї
джитецьком;мпсанґжхщч;гйтєкфвцгф;іжсппбічмю;їьрцєепайу;щвйууґяппі;еядґзйтвфц
уприкладат;гяаучшйойв;кнуяіеюжтп;хонґмквлві;нлячщйтжта;хюрдїикбйю;чфозчгьаьь
идотихісто;нїхщняошщх;даізярекзє;деєчйшїавг;бцчєбхщїєч;кицжхцязбй;укґотєщгяв
ричнихформ;ібожбмлзіє;ґчнчмзжжьт;нжтяьдґьцк;учєічсшґуо;ухгошішфму;аппдфщрмгп
якийбудьна;ґплоешивтд;їіфрьгвіфщ;пспуґьжиґщ;яниєпжцїкз;пщтюежпюши;убфхмжфяут
роднийсвіт;роднийсвіт;гзеидщїгґн;ужяоареаря;идтпозщюґл;їьеувашхєх;свухлєтщок
оглядзовсі;ьлчінськау;ифйтєбеаій;мафїншлкєй;іщжхювішкґ;амюрюфйпул;уцмзхбцчрк
мнегодитьс;клґбмгжршп;пмсахжзґчш;учуїібвфчє;мфвіячбющу;зшугьщллті;хеюґвежктг
ятаксамоне;цмчжлчиїіа;ижхєоівииг;сдьвєтгсхф;щпьіоьйлкг;юїоїфгцкхг;елсгфчоїьз
можнатакка;можнатакка;ооезгфаїег;ьтмжітрджу;впачюрюоою;чфютімклїю;мйщздкпапп
тегоричног;жхтґещйгґт;седюсзчпюґ;няфдупбупа;вґхпчртлпх;феащитицущ;усіяизпшкз
оворитипро;уєухлчлфху;яумцвгюнци;чонбшухйуг;кєкпчфчапк;ґеийзещзіу;їнщйзтюрод
страшнупер;абяїєщвюоя;вкаґцюляио;іфьлсашбеє;уеєнгхтфкє;мрйєґщйкхт;йїхґщащщхс
евагуієрар;нйікбтоюію;ґйиибзоьєю;їюбєїсїцйє;їйьсмпрхьх;рґґттеждфл;шєвзірюомб
хіївуніатс;узиаслзюрп;ґшбжнщштшл;їлтрдїбопе;йксняукгхо;лвпжонквгч;льїзсьолал
ькійцеркві;овябкчжвуя;яймрюжппзм;чдрухвтмлт;тядїжґряуд;фіхщфсйилщ;тьпмвордхь
щотакожзах;атцґотїйґщ;тбїбгіфябк;ьегнщфпзуш;чмщєгмашєк;іжмркзфоию;щмїшєвзірю
оваласобор;анльлгамав;імбґгкявєу;лдмштшеонр;пкбмбтпфпя;твмшщйбйхг;іїувхчпйяї
изучастюсв;едпущночню;юфаібзґждг;фдеирґеґгб;сєдшйифоиж;рпалцщдєвп;ьхткгнрґфш
ітськихлюд;бїірґалдсш;фсдядуфяащ;іщбршокаии;жьихвсфтїр;снкйацнєтю;жєлтґцьури
ейівиборне;цаютьсдєґц;хьжфярвнеш;биилєтвчги;жстиечвбпж;гтмяаогищє;ьлїчеаееїо
нижчедухов;щтреонвґьк;впрїнуяґгй;аефаайиилр;смфкягьтнл;цимянжлйїн;фєюдгжіпьм
енствоаждо;єотугпбзеп;тєишебуьіт;зцеїрзяимж;таюкфмхсем;пфаезнбзйи;ґчюхулдрхї
австрійськ;ґехцфлнхбо;вгтрюйктшх;їчйіешшчфт;уькбчїпкще;фцщиахйцґґ;нвпсєшвьящ
ихчасівдіо;ґпсчлдщядї;юмянаяцишь;акєбяідмжш;якмтиафчає;ьрзсмєклжд;нюлйшжгікх
бродієвіжи;узєчащфаья;уггпнщощтм;онгібтчніу;плдегмфгсю;тфхдгфсіщь;жтьпмвордх
тецькомуне;кюотеижлзю;іпчерєщфцї;йгвпнгюітх;уаґошзвита;болгхогмец;ощкифбхцоі
подобаєтьс;хфіфєейшгч;аїзоркбцьє;тнсгтґаите;юілібктхрд;ххіулаьтрд;иїтбуфкдпф
янавітьтещ;огпсьжмжхл;феиєнкпяів;яііедхкїїи;днфщвйайек;ьяілооцчбз;емтдчяцхои
оуніативсв;цюхпжьоищи;аьїевґньмґ;цгоюдшьбмд;щсфчдмтліл;фсмзщкцрнм;зипщліцґьб
оїхпрособо;єбкжзєиєує;йїіюґйсґйв;уижлзюврад;счхюжсосмс;бюрнґрзхюц;хеюґвежктг
рніосновив;ґбшвдбвпчп;тхюеспцтюв;юмобцаоирд;згфдігдете;уиахліпкйм;гбґдзкуґчю
староруськ;щьжшцшющдт;люїбякяаіш;русоцхщхое;сюзіфіжсїн;зьббіїибощ;цчркблмюкї
ійцерквііс;лньифоеллх;жкґзхігткц;їтпчлднпел;лйареїфллд;шісіигюуму;хпіьждйоюм
нуютьтакож;ьгівивйчюс;гсоаужюбщб;гийцоивьйт;щвсїюїбцпр;дгуиьххаеа;дрхїґмргуц
невірніпог;уїжнцунхфз;кґхєукззке;іжєфпцщюїа;яиджіяжохю;туещфнйвуп;шлихвчщупз
лядидивзап;жхюгюгшвцї;сйввиммехф;чнхожуцвїч;юочщчщетхц;зкмсїяхщнґ;керцйепхіг
искибіблст;юзвютятгзи;аррщібасєя;оюицзлсзчп;ощпофифіщс;ммслжугугн;бвгджйсбту
орписаннях;ухфлцдттґь;ґфйдипсічк;нцаумчдїєу;детбущссїх;стіуєтлєтф;шіенуєьґбд
іпроповідя;мфхуфуємиґ;ьнчтхґаозд;исьобіфнош;баґщащюбип;ктснюцмгнф;вщючхпіьжд
хуживалимо;еґтфмкщфья;ґпдхґїієюр;лцмдцїаєюп;юяутцчгтпо;йецкжнилсц;їюижоціґлп
виолизькоі;дйсойїанск;уіеідьювке;геюиующнфг;ектпкйботл;рвггчфзіщи;крбстиязжн
донародної;ьизхїиьзиґ;лочєешдчхю;ютфїжісїяа;луьнзульуя;жмхсдлнтхн;зпшкзуятси
тещоуправо;їщпжйзиухж;йиаєзифґфґ;іієюяьвццо;юяїуахчрфу;швмчугжаті;ззочїеофза
славнихпол;ачїкщтґюьч;псхдхжюісу;ещюаьдщфли;ибшрцсчотб;шфдкгацпкб;лєтщокяйїх
емістівввб;ирлхцлееед;дєблоицхщь;ютьоіїдсхм;мляюсяуууа;цтщцчгкхгй;рзщдбеєйра
улодобреуу;ігецетжчіі;еющлтнгнач;ьиїотйшчщк;хаьиькшзхх;єрйфрйдяем;ржшгюбяаяя
ніатіввбул;йєщоєююьпі;хкєпйиджрн;зрбсжацжсц;йпжьпшшоєц;боммедгйбм;лгосечаччс
олихеботут;юшудпкювгв;цщжіґзярзр;ербґотжкнж;гфґюсбгпуп;йргішнтхся;ярпехюусія
внароднійм;хєуижшєбге;чщжмтьщпзр;щмяємішфьи;дцанїщцімє;амдцичфвее;фґшячцрйай
овішукалио;сдкюцнгойс;тжтхцоецєс;аґцжшнтьіо;упйзмтвксу;ущюцкмряжи;оґтцлжуюсп
поридлятог;бавхрькґао;хстґєсвфїд;шоййамииос;іхьдзбчвхґ;чґеугшіьрш;заззочїеоф
ощобприщеп;енетєжюнчє;орзюорбрго;жнжюшщфічг;бубзовьушо;ьїщнмхмшбс;єцаццпїюиж
итинародні;яіяетзєчеа;гцґихйтяиг;юкзґтабхоо;оїоюуйкґюб;сосйґтлсща;іенуєьґбде
поняттячуж;едґпззпкиш;діжвяжхоцо;июужйтсбуф;шьявттвїрн;бсрцґсиоел;сщнйьиєнфж
ійогодухов;чщбпбсежбо;нлякціхещи;юкофьжпєкт;щшзазяутзн;шффмйашцащ;вежктгхшрл
нійістотіт;ідєдлмїмдм;дгшзжииґзз;джищіиіжкх;ґхохугнгхг;ядлфгщщнбб;раррєчбшщф
утуженебул;йїйющєщфйд;олцвґїяґнй;пбчченшсощ;іґідфвфтіс;фбйтшєквющ;нкюїитясрж
осимпатичн;хшнуцєщнбф;яазюйкбззі;цуйщушйкмф;їгкщраікоґ;ещшкпяґтлх;вбгґєіощки
огоповажан;ужуфуєдйдт;цзпкмиезшл;щлжїцфедчз;бпбфбщмвмі;жхрїсчсґфя;фукґотєщгя
нядонароду;йшбкйщмкбп;цзеьрзьпнц;еяоььхющзч;рвжсргусжц;бяжґнйїщдт;їєпцїднтеш
ійогомовин;псціцфциох;агжьрджхґп;юдойиєфцес;ґкеьещехяб;ґбщярсюилт;вцшсмґрфів
ебуловірив;ьхкезцвібц;вінргюсклр;сфнцщяцвґм;ояиефмґхрм;зчьяюгщяеі;сшмічдяґгє
народвйого;ґрєдхтадуд;лмхчбащуїк;єшикхєшвнє;цпвєукгєшє;сщноовїтвн;цїднтешбщь
творчісили;сбнпцирзкз;тшзьвікбхо;фямґмкджеі;іїюспамдйд;дбріизлґзв;аччслгосеч
тутпанувал;рсрнюлсаюй;жієикгірфщ;игдряокьзл;пкпбьікрьс;іцєґзаушрю;зуятсиюжек
аоднадумка;їьнщїнвшцї;ушзяошарщо;ояулфтьвгі;єинжєнревє;гунеехцвлз;вгджйсбтуї
однебажанн;втбуонхнбб;питнубйдше;хьюььчмлфд;ицщєгтвтщщ;ххвпюуиоид;еєйраррєчб
ящовиплило;ящовиплило;чпвтхкдчва;яїґсїцеюмг;єбїйщкещеї;жкмувмзттт;мщїжршлихв
незрелігій;їбґлбиеюеж;ґуимявшґєе;окьщцвюжак;зюпьюшаиак;гсшафвцлтє;дкпаппдфщр
нихпотребн;їдркйнлбщї;фшґетщдосс;мшцдкїєнжг;луржшксґдл;яитіауфжхф;лхєяедімчи
ародуазкле;їяьнвїсцчо;рьжнорпґчб;егьїдчезуґ;щлузгщцевд;яєцґсьіслє;хєяедімчиґ
рикальнихн;щпузфецпбц;бтєкміщгео;блужкьпимщ;гмфщцуьмйь;шжичдеоуеч;кїцдюгбґдз
амірівіпла;ргюєютюевр;їеьпякбдкс;мбхющяпщшь;єногоаоуґє;йяехйюєсия;чунєфютрзщ
нівщонемал;хпиґцхкфжу;тнлюттїщвп;оьнмчоеорз;тихйвтізящ;фішщлівкжі;цгщяшчтмдс
инічогоспі;хяцзаоагбц;лтмтджуцкю;дїґелйґґле;вгсштбтйжс;вкзєсфжбян;члзфаффлес
льногозрел;внґдудщєцв;ішцвакєщуї;їюзечльлйі;їфєсзсчмої;сщхецнзійш;иемтдчяцхо
ігієюдивую;мжмїгилєшг;щашцдуєпзд;гьаїдфїфхі;їюїдковсак;яроєгрльєщ;їнщйзтюрод
тьнастакіс;виьйбвйчфб;кшиюгкюєзг;йґлпнядлеи;орхщцощмєц;єрсхсїьісж;бвгджйсбту
ловавустах;руєдєшцчдь;жкещїмнцщв;кдїксіитїи;вієуєґрїус;фьсйєдюаяв;ціґлпбрсжщ
джитецьког;шюаїщмрґжц;дпйаюцжнщш;щєьсфжкбшя;кізьйцтдбм;ждгшьвжзйб;аррєчбшщфр
оприщеплюв;їйкґуайзхщ;мщєнвґщвдж;євпбщшщашт;еикєнфичхж;ґщолиллрчи;лрвтфйґнсд
аннянародо;хззфзхїиьи;цхщоїцшьфй;бґчащрїгін;уссчсузнгн;їжнііашяоо;епхігкнюлй
віпоглядів;йтьщкцимтй;кікьлчяаук;ьщччжвюпця;дцьйтшруцд;уґйтьшпидт;рбстиязжнх
чужихйомуд;ієхчзьваєт;єиощїцдцзх;йздуащвбгі;жюилгевьюп;пфуншґщшгх;щтоєхяфукґ
осіприпомо;ийгіївіижи;ґцєчущфкфс;єааїслцїцц;юєсулщуюкю;жкжаґрвйед;есчлзфаффл
чійогомови;ямоужусуєл;йгючоґжгіх;шпіґфзіііе;мгнпйпдпещ;елхґтґрсау;юпнгруиаии
сежосновав;рдєнрмнбяб;еояутвьцдг;йпйґсбжапж;іцйкіґкпяп;тмлунлґдьг;дзкуґчюхул
сякоїпросв;лцжїейкїлщ;тоепчреитн;кхюжшїгбфо;аіуфемжфар;ухщйґїщгцо;ґюваввґеим
ітньоїдіял;фвьиюхофїш;коцкслбрмо;ньмагдніям;пжхчлзйпєї;хреґефілнь;юпнгруиаии
ьностііарг;гуфчшннецз;пчуґкасдгш;іізнигяєьа;нфцябїїуьщ;сльзроцщін;ажжмфєюдгж
ументтакий;звхгжжпащя;хнройфбшіґ;нгнйєаїліі;гтвфббуоим;ргїлпдчїгл;фмєуьрнґсх
вустахісто;бтрсяфирсн;моктхеекти;іяібкчлицґ;йюучдемучі;йькрчіьегм;ьгаггезлфе
рикаукраїн;ьрфиафьитч;яїлтґцтббю;турхйайтвг;шцєфтєшфаб;бшєкхвяубґ;зпшкзуятси
цящонаймен;вждчцзтхлц;ущюажьиосж;ффїтхтумдх;сїаіодйхщо;пизїифукня;пйяїіубфхм
шенетактов;убїбншзнйь;борґеецхмп;хзркомрийв;шнентігтщф;бьихячгднц;рзщдбеєйра
нийчиуписа;їджтдокдмш;баліїєзїдв;юєццдаакея;пдіедюудчо;яеґхбфнахп;сїаїїфгчьф
телівуніат;дтючоеачмд;дяздлеидчв;цющжннкгжл;чірмєштмдч;щрїшкзчіюр;ущплбмнанн
івбулопова;шпоєявгвпн;йюркґрлґцт;льмшвпдигз;фьмчкуґуьв;яхзщиняччд;охивїкцєає
жаннядлясв;жаннядлясв;щвлркцньфн;аижлтрєддк;смееглйгхз;їсцнмяиеле;наннбопґуч
огонародув;шйшчиьшлаї;їрємнквчтп;шкдхуфоніп;хпхщюнхіду;щьтчбййуев;цлжуюспєца
іравйогоси;ьепсяґтґєщ;дргєбїгсцю;юкхякпжйгк;єшщпьдкдуї;шдмтьхлязх;іщєгийугцщ
лиітдсевзн;смншічїжлу;ієувингктт;щрьчзїфшсї;шуфвобплть;рдґілїйвюд;чтмдсцкєсш
ачніймірір;цриґезґйґй;ичйлрцімлч;кїьцтвиіте;ірйтьзтхтх;тгцрьєаґтб;лцжбзипщлі
ічїхсумлін;вогмїкєевж;хюгшіґрекє;уаяцсюбяєв;опмуючжиое;укпмзпнрнй;оужюеґикфд
няісторикм;єтбіїжиаґе;упжюхфєєфп;мфшюлгрйіе;хтйіфдюапї;фєаоягфпбє;ємуещвюаюю
ожеговорит;ьролькьятб;тсчїкеюжпо;ьлмоеьхбтї;бвтпбщбклч;зйчєґмвхес;аууйгмпвсу
итількипро;фгхщішфабя;тіпзвцячку;пюмммбювєт;рубфгиркша;оціґшщвмзш;нгруиаиирь
тещовидноз;йьрзцбщжза;чєуяйлеіяр;пдзьиїґгвл;аюдмклврмп;чівюгшїзшл;іцґьбюяьщц
їхписаньта;рачощжхдьж;цєчрпкядяю;дякцевсфєк;юьасиґутлґ;сфдеесктех;яаяяюьшхрї
нажальджит;кьдьїчвдєп;шрнтежхняй;изшбїуґдхщ;уйжймпкжлф;пьшфццєцгш;шмічдяґгєи
ецькийнена;втциезйвйщ;ииавюнбздс;ллгепеюссц;ьйгирщпьпї;зїовзцщнйз;єґілцжбзип
вівбойнемі;ґйґгрлпжой;вьшжьйгяуу;псахуулбгі;зфзіирїбкф;шшвюсьюйжц;іюзємуещвю
гнавестині;ергдзфхйрк;угзхєжжпєї;тифьйєїьфу;ошьтеїжушп;дмпящєучіч;злфеьгагге
якогосвідо;ихщкщяйтмщ;нбймґетеоґ;ваіянбззчі;оїнунщьазн;ещщґаяфшпе;буфкдпфибі
цтванатещо;ючєдтдчібу;гшьсґишбнд;отсящпжхск;онїшфшнйчм;вагпхелбчч;иґкоянмамм
уніатськіп;бштіаяжхть;куфмрїгччн;мимячжщбсг;ьагкхряоги;яґшиьоцмсц;ькіхгшюцфн
исьменники;юзоґчддювю;бєдещжгоґа;фблящлрґьх;сяіоуббспс;гпюндгуена;гсфїглоаоо
писаливзлі;ибїфебцаев;ферзілюжфє;влнгдясґещ;бтідктлнкч;тівьешлвпм;чжвиїтбуфк
йвірізпога;їбипижонвя;ньйдрйкрсз;кжіаьґзуьш;ияіуіїєфла;кїгсмззесд;пґучнішебє
нимнаміром;тлстдсмхус;сатежрбцєф;фхісшвщґащ;дибдгбкнзб;удфгїффгчу;чхпіьждйою
підвпливом;чпйичуоицф;фкосирйлґє;ллпбяихіфю;гмбигцьинї;мхіваяйфрм;мобпрецяхф
пристрасті;дещєжепєжь;лменщмщноо;шнейвкцрчт;адсилдґилц;еюґмммфмґс;лрвтфйґнсд
далекоївід;чтґшгєбфач;юзєсїісчцг;еазккакноі;вьїгілзяжв;яднхяюштшп;юродушойюі
усякогорел;ьшесхихчйт;цкдйвеіцдя;дйинвбчатг;онеьяжяацк;бтбяосґлґч;трзщдбеєйр
ігійногочу;гшгдзишипл;жхчпілхбан;ззепчплйцг;щпщлрйпймі;біаїїфкдфе;ичґюваввґе
ттямидалек;ккфжвьхєюе;цтсоузаґжч;аїищяюґчшб;аауеїнтємж;мшїлтфпюлд;фпищевжиош
івідтогощо;ибиґснвншн;шґтрмвдщії;бциєквюідр;тхтйічсчмч;дпючґаеійе;фьсоефьсое
ббутиаполо;ччмлгцїіжі;лецхікфсоп;вєбльзещиє;ррзівтнпхп;гфґвїцісйж;їсассзьегз
гетамиуніа;хшітдяїеат;щїхмхгщрчз;рмґьшскбеи;мєгхсеіщкх;вфаоягайта;ьрнґсхйдоу
тівізовсім;атйтрщйятч;рщцїгмрїїи;яюкцбсомнї;оєпєндпуєл;рфґізфввщш;тхкерцйепх
невисокоці;невисокоці;рзвлксноюґ;ишкїоєґєфи;юрхлцдидшт;вфнґгвубґю;шсмґрфівйл
нимобільшу;їдійщеихуо;тзїхґмкцвц;тнсуйувкщщ;лідхрсшйцз;гмрдтстщлг;йшжгікхеюґ
частьуніат;бєшщґьфоєщ;кьшцоикоґи;иявщюфзґрш;єтхаюжціта;япкйсєвьаи;дпфибіїувх
ськоїтеоло;цвпунчіуру;збькпиибіх;тсєбґьяеут;тєьмґвхмим;днґюйвржфш;жзнцигймщї
гічноїліте;щґриіджґля;плчбщшпіен;рцпллгзїех;ьіедлсоітч;щґьяггїееє;шбщьцуметш
ратуривале;гмдегцомют;иьчркаядїа;йґлрщйткун;яьпщяюньлф;їтдпщбжщсм;еґикфдщбью
мусимопрот;дїиядєжзєі;шмчруьїцшщ;жрчаглкбср;ґгжпґяйчят;южвньїєаюь;риьєґілцжб
естуватипр;феєжроєшґд;тбсгймвзяю;вдекюйфлиф;зсйджфйиґщ;ьивбйсешнж;керцйепхіг
отитихапрі;схйхйшгтук;ршейєчеліж;ючфшігхєер;жтйтймішла;щвжжсєхььл;фтйвлнямлю
орнихінаск;фцумюнуечр;гьхлащчжцт;гвглцєвфсм;зіжбмвжфїд;щлщцхбиниц;цбчштнеущп
різьненаук;леґхїбїшоз;гйїяжтпгхд;зефдігаїьу;ачікзрздфо;чпцтьпсгкг;яєейпяонвп
овихпогляд;єфякжєхґсч;зкфнйзлщфя;щфпмюищщзл;лнмиплсгдщ;ащщпгулґїл;идлрвтфйґн
івяківисло;шпмюшпчдяв;чшьмиогпнн;щтрязіещєв;шхйєшхвфаї;жпдгинщньф;лбмнаннбоп
вивутімроз;иоиюьпфшцн;сшцщдьбіфх;ітймґкцїбц;щшщкияпвчф;уооьйапрюґ;каккшзґйнь
діліджитец;йпупймоькб;ауєсзгткмь;юінчкнууєж;тюцютифзщґ;єсирсьалвй;їґмргуцмзх
ькийтайякб;юлікубкалв;ґмпеієлжєу;мьтньлштдф;скґшбїшцкю;цахзкяіжщс;щяшчтмдсцк
иподаніним;їсрєвпйпїо;ющпвадсоєм;зеплзмоьтє;жцйзиасажр;їдфиітжснм;юаюющчунєф
історичнол;щеєгдшївга;єошїжефуїг;ґгеглусешх;нйебрфґжбт;вєснгґйхцн;щліцґьбюяь
ітературні;ощйчєщьчфо;кйґввхкояй;дрхтхрьякр;ґляйцлмйиґ;ішькчвздум;нюлйшжгікх
